    1,500000e+00    9,974900e-01    7,071166e-02
    1,550000e+00    9,997776e-01    2,077253e-02
    1,600000e+00    9,995664e-01   -2,921750e-02
    1,650000e+00    9,968571e-01   -7,913403e-02
    1,700000e+00    9,916563e-01   -1,288527e-01
    1,750000e+00    9,839771e-01   -1,782495e-01
    1,800000e+00    9,738388e-01   -2,272012e-01
    1,850000e+00    9,612665e-01   -2,755856e-01
    1,900000e+00    9,462917e-01   -3,232819e-01
    1,950000e+00    9,289517e-01   -3,701708e-01
    2,000000e+00    9,092900e-01   -4,161352e-01
    2,050000e+00    8,873555e-01   -4,610601e-01
    2,100000e+00    8,632032e-01   -5,048331e-01
    2,150000e+00    8,368933e-01   -5,473448e-01
    2,200000e+00    8,084915e-01   -5,884888e-01
    2,250000e+00    7,780689e-01   -6,281622e-01
    2,300000e+00    7,457015e-01   -6,662656e-01
    2,350000e+00    7,114701e-01   -7,027038e-01
    2,400000e+00    6,754603e-01   -7,373857e-01
    2,450000e+00    6,377622e-01   -7,702244e-01
    2,500000e+00    5,984700e-01   -8,011377e-01
    2,550000e+00    5,576818e-01   -8,300485e-01
    2,600000e+00    5,154997e-01   -8,568844e-01
    2,650000e+00    4,720291e-01   -8,815784e-01
    2,700000e+00    4,273786e-01   -9,040686e-01
    2,750000e+00    3,816599e-01   -9,242988e-01
    2,800000e+00    3,349873e-01   -9,422187e-01
    2,850000e+00    2,874773e-01   -9,577833e-01
    2,900000e+00    2,392488e-01   -9,709538e-01
    2,950000e+00    1,904224e-01   -9,816973e-01
    3,000000e+00    1,411200e-01   -9,899871e-01
    3,050000e+00    9,146492e-02   -9,958023e-01
    3,100000e+00    4,158125e-02   -9,991287e-01
    3,150000e+00   -8,406325e-03   -9,999578e-01
    3,200000e+00   -5,837287e-02   -9,982877e-01
    3,250000e+00   -1,081935e-01   -9,941225e-01
    3,300000e+00   -1,577437e-01   -9,874727e-01
    3,350000e+00   -2,068996e-01   -9,783549e-01
    3,400000e+00   -2,555384e-01   -9,667919e-01
    3,450000e+00   -3,035385e-01   -9,528126e-01
    3,500000e+00   -3,507800e-01   -9,364520e-01
    3,550000e+00   -3,971447e-01   -9,177508e-01
    3,600000e+00   -4,425169e-01   -8,967560e-01
    3,650000e+00   -4,867830e-01   -8,735198e-01
    3,700000e+00   -5,298324e-01   -8,481003e-01
    3,750000e+00   -5,715577e-01   -8,205610e-01
    3,800000e+00   -6,118543e-01   -7,909707e-01
    3,850000e+00   -6,506218e-01   -7,594033e-01
    3,900000e+00   -6,877630e-01   -7,259377e-01
    3,950000e+00   -7,231853e-01   -6,906574e-01
    4,000000e+00   -7,568000e-01   -6,536506e-01
    4,050000e+00   -7,885231e-01   -6,150098e-01
    4,100000e+00   -8,182754e-01   -5,748315e-01
    4,150000e+00   -8,459823e-01   -5,332161e-01
    4,200000e+00   -8,715747e-01   -4,902676e-01
    4,250000e+00   -8,949886e-01   -4,460934e-01
    4,300000e+00   -9,161655e-01   -4,008040e-01
    4,350000e+00   -9,350523e-01   -3,545124e-01
    4,400000e+00   -9,516020e-01   -3,073346e-01
    4,450000e+00   -9,657730e-01   -2,593884e-01
    4,500000e+00   -9,775300e-01   -2,107938e-01
    4,550000e+00   -9,868436e-01   -1,616723e-01
    4,600000e+00   -9,936905e-01   -1,121467e-01
    4,650000e+00   -9,980536e-01   -6,234100e-02
    4,700000e+00   -9,999220e-01   -1,237969e-02
    4,750000e+00   -9,992911e-01    3,761222e-02
    4,800000e+00   -9,961624e-01    8,750973e-02
    4,850000e+00   -9,905437e-01    1,371880e-01
    4,900000e+00   -9,824493e-01    1,865229e-01
    4,950000e+00   -9,718992e-01    2,353909e-01
    5,000000e+00   -9,589200e-01    2,836700e-01
    5,050000e+00   -9,435441e-01    3,312395e-01
    5,100000e+00   -9,258099e-01    3,779804e-01
    5,150000e+00   -9,057618e-01    4,237762e-01
    5,200000e+00   -8,834499e-01    4,685124e-01
    5,250000e+00   -8,589301e-01    5,120773e-01
    5,300000e+00   -8,322635e-01    5,543623e-01
    5,350000e+00   -8,035169e-01    5,952620e-01
    5,400000e+00   -7,727621e-01    6,346742e-01
    5,450000e+00   -7,400759e-01    6,725010e-01
    5,500000e+00   -7,055400e-01    7,086479e-01
    5,550000e+00   -6,692406e-01    7,430251e-01
    5,600000e+00   -6,312684e-01    7,755469e-01
    5,650000e+00   -5,917182e-01    8,061322e-01
    5,700000e+00   -5,506887e-01    8,347050e-01
    5,750000e+00   -5,082824e-01    8,611938e-01
    5,800000e+00   -4,646052e-01    8,855324e-01
    5,850000e+00   -4,197661e-01    9,076599e-01
    5,900000e+00   -3,738770e-01    9,275205e-01
    5,950000e+00   -3,270526e-01    9,450637e-01
    6,000000e+00   -2,794100e-01    9,602446e-01
    6,050000e+00   -2,310682e-01    9,730235e-01
    6,100000e+00   -1,821483e-01    9,833664e-01
    6,150000e+00   -1,327727e-01    9,912442e-01
    6,200000e+00   -8,306531e-02    9,966336e-01
    6,250000e+00   -3,315108e-02    9,995163e-01
    6,300000e+00    1,684432e-02    9,998789e-01
    6,350000e+00    6,679467e-02    9,977132e-01
    6,400000e+00    1,165734e-01    9,930155e-01
    6,450000e+00    1,660540e-01    9,857867e-01
    6,500000e+00    2,151100e-01    9,760318e-01
